Time;Type;Instrument;Product;Qty.;Avg.;price;Status
17/10/2025;09:22:53;SELL;NIFTY25OCT25400PE;NRML;"75/75"",94.4";COMPLETE;NIFTY
17/10/2025;09:24:05;SELL;BANKNIFTY25OCT57400PE;NRML;"35/35"",453.05";COMPLETE;BANKNIFTY
17/10/2025;09:27:01;BUY;BANKNIFTY25NOV56500PE;NRML;"105/105"",390.98";COMPLETE;BANKNIFTY
17/10/2025;09:27:19;SELL;BANKNIFTY25NOV57500PE;NRML;"105/105"",700.3";COMPLETE;BANKNIFTY
17/10/2025;09:28:18;SELL;BANKNIFTY25NOV57500PE;NRML;"35/35"",703.4";COMPLETE;BANKNIFTY
17/10/2025;09:30:50;BUY;BANKNIFTY25OCT57300PE;NRML;"35/35"",371.25";COMPLETE;BANKNIFTY
17/10/2025;09:31:29;BUY;BANKNIFTY25OCT57300PE;NRML;"35/35"",367.95";COMPLETE;BANKNIFTY
17/10/2025;09:31:37;SELL;BANKNIFTY25OCT57500PE;NRML;"70/70"",444";COMPLETE;BANKNIFTY
17/10/2025;09:34:07;SELL;NIFTY25OCT25400PE;NRML;"0/75"",0";REJECTED;NIFTY
17/10/2025;09:36:21;BUY;NIFTY25OCT25400PE;NRML;"75/75"",82.55";COMPLETE;NIFTY
17/10/2025;09:36:37;SELL;NIFTY25OCT25600PE;NRML;"75/75"",139.6";COMPLETE;NIFTY
17/10/2025;09:37:09;SELL;BANKNIFTY25OCT57400PE;NRML;"0/35"",0";REJECTED;BANKNIFTY
17/10/2025;09:38:37;BUY;BANKNIFTY25OCT57000CE;NRML;"35/35"",804.9";COMPLETE;BANKNIFTY
17/10/2025;09:38:47;SELL;BANKNIFTY25OCT57400PE;NRML;"0/35"",0";REJECTED;BANKNIFTY
17/10/2025;09:39:47;SELL;NIFTY25OCT25600PE;NRML;"0/75"",0";REJECTED;NIFTY
17/10/2025;09:50:11;SELL;BANKNIFTY25OCT57500CE;NRML;"35/35"",413.5";COMPLETE;BANKNIFTY
17/10/2025;09:50:43;BUY;BANKNIFTY25OCT57200PE;NRML;"70/70"",381.6";COMPLETE;BANKNIFTY
17/10/2025;09:50:51;SELL;BANKNIFTY25OCT57300PE;NRML;"70/70"",420.4";COMPLETE;BANKNIFTY
17/10/2025;09:51:44;SELL;NIFTY25OCT25600PE;NRML;"0/75"",0";REJECTED;NIFTY
17/10/2025;10:04:41;SELL;BANKNIFTY25NOV57500PE;NRML;"0/35"",0";REJECTED;BANKNIFTY
17/10/2025;10:05:06;BUY;BANKNIFTY25NOV54000PE;NRML;"35/35"",94.3";COMPLETE;BANKNIFTY
17/10/2025;10:05:16;SELL;BANKNIFTY25NOV57500PE;NRML;"0/35"",0";REJECTED;BANKNIFTY
17/10/2025;10:06:00;SELL;BANKNIFTY25NOV57500PE;NRML;"0/35"",0";REJECTED;BANKNIFTY
