"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2025-10-23 15:15:50","BUY","BANKNIFTY25DEC60000CE","NRML","0/35",0,"REJECTED",""
"2025-10-23 15:15:38","BUY","BANKNIFTY25DEC59000CE","NRML","35/35",951.85,"COMPLETE",""
"2025-10-23 15:15:23","SELL","BANKNIFTY25DEC59100CE","NRML","105/105",880,"COMPLETE",""
"2025-10-23 15:15:00","SELL","BANKNIFTY25DEC59100CE","NRML","105/105",872.77,"COMPLETE",""
"2025-10-23 15:14:16","BUY","BANKNIFTY25DEC60000CE","NRML","35/35",554.45,"COMPLETE",""
"2025-10-23 15:14:10","BUY","BANKNIFTY25DEC60000CE","NRML","35/35",555.85,"COMPLETE",""
"2025-10-23 15:13:49","SELL","BANKNIFTY25DEC59100CE","NRML","0/35",0,"CANCELLED",""
"2025-10-23 15:13:38","BUY","BANKNIFTY25DEC60000CE","NRML","35/35",557.8,"COMPLETE",""
"2025-10-23 15:13:30","SELL","BANKNIFTY25DEC59000CE","NRML","0/35",0,"REJECTED",""
"2025-10-23 15:13:12","SELL","BANKNIFTY25NOV58000CE","NRML","35/35",982.05,"COMPLETE",""
"2025-10-23 15:12:48","SELL","BANKNIFTY25NOV58300PE","NRML","35/35",720.4,"COMPLETE",""
"2025-10-23 15:12:41","BUY","BANKNIFTY25NOV58000PE","NRML","35/35",591.8,"COMPLETE",""
"2025-10-23 15:12:32","BUY","BANKNIFTY25NOV58000PE","NRML","35/35",591.45,"COMPLETE",""
"2025-10-23 15:12:26","BUY","BANKNIFTY25NOV58000PE","NRML","35/35",590.75,"COMPLETE",""
"2025-10-23 15:12:14","BUY","BANKNIFTY25NOV58000PE","NRML","35/35",589,"COMPLETE",""
"2025-10-23 14:26:06","SELL","BANKNIFTY25DEC59100CE","NRML","0/70",0,"CANCELLED",""
"2025-10-23 14:25:45","SELL","BANKNIFTY25DEC59100CE","NRML","0/70",0,"CANCELLED",""
"2025-10-23 14:25:35","BUY","BANKNIFTY25DEC60000CE","NRML","70/70",541.08,"COMPLETE",""
"2025-10-23 14:24:17","SELL","BANKNIFTY25DEC57500PE","NRML","0/35",0,"REJECTED",""
"2025-10-23 14:23:28","SELL","BANKNIFTY25NOV59000CE","NRML","35/35",494.1,"COMPLETE",""
"2025-10-23 14:23:08","SELL","BANKNIFTY25NOV59000CE","NRML","35/35",495.35,"COMPLETE",""
"2025-10-23 14:22:49","SELL","BANKNIFTY25NOV59000CE","NRML","35/35",508.45,"COMPLETE",""
"2025-10-23 14:22:21","SELL","BANKNIFTY25NOV59000CE","NRML","70/70",501.45,"COMPLETE",""
"2025-10-23 14:22:11","BUY","BANKNIFTY25NOV60000CE","NRML","70/70",215.98,"COMPLETE",""
"2025-10-23 14:21:57","SELL","BANKNIFTY25NOV58000CE","NRML","0/35",0,"REJECTED",""
"2025-10-23 14:21:40","SELL","BANKNIFTY25NOV59000CE","NRML","70/70",515.6,"COMPLETE",""
"2025-10-23 14:21:29","BUY","BANKNIFTY25NOV60000CE","NRML","70/70",225.15,"COMPLETE",""
"2025-10-23 12:02:11","SELL","NIFTY25NOV26000PE","NRML","0/75",0,"REJECTED",""
"2025-10-23 12:01:11","SELL","NIFTY25NOV26000PE","NRML","75/75",229.9,"COMPLETE",""
"2025-10-23 12:00:53","SELL","BANKNIFTY25NOV58500PE","NRML","35/35",662.05,"COMPLETE",""
"2025-10-23 11:59:15","BUY","NIFTY25DECFUT","NRML","75/75",26445,"COMPLETE",""
"2025-10-23 11:58:09","SELL","NIFTY25DEC27000CE","NRML","75/75",250.65,"COMPLETE",""
"2025-10-23 11:56:59","BUY","BANKNIFTY25NOVFUT","NRML","35/35",58814.6,"COMPLETE",""
"2025-10-23 11:56:44","SELL","BANKNIFTY25NOV58500PE","NRML","0/35",0,"REJECTED",""
"2025-10-23 11:55:44","BUY","BANKNIFTY25NOVFUT","NRML","35/35",58809.8,"COMPLETE",""
"2025-10-23 11:45:46","SELL","BANKNIFTY25NOV58000CE","NRML","35/35",1260.45,"COMPLETE",""
"2025-10-23 11:45:37","BUY","BANKNIFTY25NOV55000CE","NRML","35/35",3825,"COMPLETE",""
"2025-10-23 11:40:29","SELL","BANKNIFTY25DEC58500CE","NRML","140/140",1420,"COMPLETE",""
"2025-10-23 11:40:23","BUY","BANKNIFTY25DEC59100CE","NRML","140/140",1104.79,"COMPLETE",""
"2025-10-23 11:40:15","SELL","BANKNIFTY25DEC58500CE","NRML","140/140",1415.11,"COMPLETE",""
"2025-10-23 11:39:51","BUY","BANKNIFTY25DEC59100CE","NRML","140/140",1111.49,"COMPLETE",""
"2025-10-23 11:38:57","SELL","BANKNIFTY25DEC58500PE","NRML","0/35",0,"REJECTED",""
"2025-10-23 11:38:29","SELL","BANKNIFTY25DEC57500PE","NRML","35/35",570.05,"COMPLETE",""
"2025-10-23 11:38:21","SELL","BANKNIFTY25DEC59000CE","NRML","35/35",1146.65,"COMPLETE",""
"2025-10-23 11:38:09","BUY","BANKNIFTY25DEC57000CE","NRML","35/35",2484.4,"COMPLETE",""
"2025-10-23 11:37:55","SELL","BANKNIFTY25DEC59000CE","NRML","35/35",1145.9,"COMPLETE",""
