symbol;isin;trade_date;exchange;segment;series;trade_type;auction;quantity;price;trade_id;order_id;order_execution_time;expiry_date
NIFTY2590224550PE;;01/09/2025;NSE;FO;;buy;FALSE;75.000.000;50.650.000;1415959;1,1E+15;2025-09-01T09:53:54;02/09/2025
NIFTY2590924550CE;;01/09/2025;NSE;FO;;buy;FALSE;75.000.000;185.700.000;1448983;1,1E+15;2025-09-01T09:54:54;09/09/2025
NIFTY2590924600CE;;01/09/2025;NSE;FO;;sell;FALSE;75.000.000;157.400.000;1181069;1,2E+15;2025-09-01T09:54:58;09/09/2025
NIFTY2590224550PE;;01/09/2025;NSE;FO;;buy;FALSE;75.000.000;51.100.000;1469913;1,1E+15;2025-09-01T09:55:33;02/09/2025
NIFTY2590224800PE;;01/09/2025;NSE;FO;;buy;FALSE;75.000.000;243.100.000;1000741;1,6E+15;2025-09-01T09:56:41;02/09/2025
NIFTY2590224450PE;;01/09/2025;NSE;FO;;buy;FALSE;75.000.000;24.850.000;1003502;1,6E+15;2025-09-01T09:56:50;02/09/2025
NIFTY2590224400PE;;01/09/2025;NSE;FO;;sell;FALSE;75.000.000;15.850.000;975688;1,5E+15;2025-09-01T09:57:02;02/09/2025
NIFTY2590224400PE;;01/09/2025;NSE;FO;;sell;FALSE;225.000.000;15.850.000;975687;1,5E+15;2025-09-01T09:57:02;02/09/2025
NIFTY2590224400CE;;01/09/2025;NSE;FO;;sell;FALSE;75.000.000;186.200.000;977992;1,5E+15;2025-09-01T09:57:19;02/09/2025
NIFTY2590224600PE;;01/09/2025;NSE;FO;;buy;FALSE;75.000.000;44.250.000;5774756;1,2E+15;2025-09-01T14:20:35;02/09/2025
NIFTY2590224550PE;;01/09/2025;NSE;FO;;sell;FALSE;75.000.000;28.450.000;6181005;1,1E+15;2025-09-01T14:21:02;02/09/2025
NIFTY2590224550PE;;01/09/2025;NSE;FO;;sell;FALSE;75.000.000;28.400.000;6181006;1,1E+15;2025-09-01T14:21:02;02/09/2025
NIFTY2590225050PE;;01/09/2025;NSE;FO;;buy;FALSE;75.000.000;424.550.000;3186111;1,4E+15;2025-09-01T14:50:23;02/09/2025
NIFTY2590224600CE;;01/09/2025;NSE;FO;;buy;FALSE;75.000.000;69.400.000;6335456;1,2E+15;2025-09-01T14:50:58;02/09/2025
NIFTY2590924650CE;;01/09/2025;NSE;FO;;buy;FALSE;75.000.000;148.900.000;3774169;1,3E+15;2025-09-01T14:53:02;09/09/2025
NIFTY2591624800CE;;01/09/2025;NSE;FO;;sell;FALSE;75.000.000;147.550.000;3240023;1,6E+15;2025-09-01T14:53:29;16/09/2025
