symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
NIFTY2590224550PE,,2025-09-01,NSE,FO,,buy,false,75.000000,50.650000,1415959,1100000029001342,2025-09-01T09:53:54,2025-09-02
NIFTY2590924550CE,,2025-09-01,NSE,FO,,buy,false,75.000000,185.700000,1448983,1100000029699429,2025-09-01T09:54:54,2025-09-09
NIFTY2590924600CE,,2025-09-01,NSE,FO,,sell,false,75.000000,157.400000,1181069,1200000028157463,2025-09-01T09:54:58,2025-09-09
NIFTY2590224550PE,,2025-09-01,NSE,FO,,buy,false,75.000000,51.100000,1469913,1100000030188096,2025-09-01T09:55:33,2025-09-02
NIFTY2590224800PE,,2025-09-01,NSE,FO,,buy,false,75.000000,243.100000,1000741,1600000026600034,2025-09-01T09:56:41,2025-09-02
NIFTY2590224450PE,,2025-09-01,NSE,FO,,buy,false,75.000000,24.850000,1003502,1600000026681954,2025-09-01T09:56:50,2025-09-02
NIFTY2590224400PE,,2025-09-01,NSE,FO,,sell,false,75.000000,15.850000,975688,1500000027742478,2025-09-01T09:57:02,2025-09-02
NIFTY2590224400PE,,2025-09-01,NSE,FO,,sell,false,225.000000,15.850000,975687,1500000027742478,2025-09-01T09:57:02,2025-09-02
NIFTY2590224400CE,,2025-09-01,NSE,FO,,sell,false,75.000000,186.200000,977992,1500000027866806,2025-09-01T09:57:19,2025-09-02
NIFTY2590224600PE,,2025-09-01,NSE,FO,,buy,false,75.000000,44.250000,5774756,1200000142902408,2025-09-01T14:20:35,2025-09-02
NIFTY2590224550PE,,2025-09-01,NSE,FO,,sell,false,75.000000,28.450000,6181005,1100000148409023,2025-09-01T14:21:02,2025-09-02
NIFTY2590224550PE,,2025-09-01,NSE,FO,,sell,false,75.000000,28.400000,6181006,1100000148409023,2025-09-01T14:21:02,2025-09-02
NIFTY2590225050PE,,2025-09-01,NSE,FO,,buy,false,75.000000,424.550000,3186111,1400000136623423,2025-09-01T14:50:23,2025-09-02
NIFTY2590224600CE,,2025-09-01,NSE,FO,,buy,false,75.000000,69.400000,6335456,1200000155796018,2025-09-01T14:50:58,2025-09-02
NIFTY2590924650CE,,2025-09-01,NSE,FO,,buy,false,75.000000,148.900000,3774169,1300000146791276,2025-09-01T14:53:02,2025-09-09
NIFTY2591624800CE,,2025-09-01,NSE,FO,,sell,false,75.000000,147.550000,3240023,1600000132521269,2025-09-01T14:53:29,2025-09-16
NIFTY25SEP24900CE,,2025-09-02,NSE,FO,,buy,false,150.000000,212.850000,496314,1100000009926405,2025-09-02T09:27:26,2025-09-30
NIFTY25SEP24500CE,,2025-09-02,NSE,FO,,sell,false,75.000000,436.250000,468703,1000000009562172,2025-09-02T09:27:33,2025-09-30
NIFTY25SEP24900CE,,2025-09-02,NSE,FO,,buy,false,150.000000,214.000000,506002,1100000010150443,2025-09-02T09:27:44,2025-09-30
NIFTY25SEP24500CE,,2025-09-02,NSE,FO,,sell,false,75.000000,438.800000,479860,1000000009776235,2025-09-02T09:27:50,2025-09-30
NIFTY25SEP24500PE,,2025-09-02,NSE,FO,,sell,false,75.000000,173.250000,496208,1000000010131513,2025-09-02T09:28:20,2025-09-30
NIFTY25SEP24300PE,,2025-09-02,NSE,FO,,buy,false,75.000000,119.000000,1355221,1300000013289425,2025-09-02T09:28:28,2025-09-30
NIFTY2590224650PE,,2025-09-02,NSE,FO,,buy,false,75.000000,36.400000,1428072,1300000014268392,2025-09-02T09:29:43,2025-09-02
NIFTY2590224600PE,,2025-09-02,NSE,FO,,sell,false,75.000000,19.000000,1079001,1200000012985355,2025-09-02T09:29:55,2025-09-02
NIFTY2590224700CE,,2025-09-02,NSE,FO,,buy,false,75.000000,26.600000,1587799,1400000017487214,2025-09-02T09:34:41,2025-09-02
NIFTY2590224600CE,,2025-09-02,NSE,FO,,sell,false,75.000000,88.800000,1382387,1200000016709293,2025-09-02T09:34:47,2025-09-02
NIFTY25NOV25000CE,,2025-09-02,NSE,FO,,buy,false,75.000000,545.000000,2229912,1300000023447265,2025-09-02T09:41:02,2025-11-25
NIFTY25NOV25500CE,,2025-09-02,NSE,FO,,sell,false,75.000000,310.000000,778039,1600000017016428,2025-09-02T09:41:16,2025-11-25
BANKNIFTY25NOV54000CE,,2025-09-02,NSE,FO,,buy,false,35.000000,1745.000000,89341,1700000011378052,2025-09-02T09:42:26,2025-11-25
BANKNIFTY25NOV55000CE,,2025-09-02,NSE,FO,,sell,false,35.000000,1150.000000,47138,1900000009518672,2025-09-02T09:42:35,2025-11-25
NIFTY2590224700PE,,2025-09-02,NSE,FO,,buy,false,75.000000,23.350000,4915252,1400000054066885,2025-09-02T10:25:21,2025-09-02
NIFTY2590224650PE,,2025-09-02,NSE,FO,,sell,false,75.000000,12.750000,4034742,1300000054024759,2025-09-02T10:25:29,2025-09-02
NIFTY2590224750CE,,2025-09-02,NSE,FO,,buy,false,75.000000,31.000000,3299675,1500000049531549,2025-09-02T10:25:50,2025-09-02
NIFTY2590224700CE,,2025-09-02,NSE,FO,,sell,false,75.000000,58.900000,4925993,1400000054334651,2025-09-02T10:25:56,2025-09-02
NIFTY2590924750CE,,2025-09-02,NSE,FO,,buy,false,150.000000,141.800000,6471923,1500000101388029,2025-09-02T11:59:32,2025-09-09
NIFTY2590924550CE,,2025-09-02,NSE,FO,,sell,false,75.000000,277.250000,2398704,1100000075700782,2025-09-02T11:59:52,2025-09-09
NIFTY2590924650CE,,2025-09-02,NSE,FO,,sell,false,75.000000,203.600000,5409235,1300000097857372,2025-09-02T11:59:59,2025-09-09
NIFTY2590224700PE,,2025-09-02,NSE,FO,,sell,false,75.000000,110.150000,15154817,1400000185578745,2025-09-02T14:00:41,2025-09-02
NIFTY2590224750CE,,2025-09-02,NSE,FO,,sell,false,75.000000,1.800000,12483676,1500000179985992,2025-09-02T14:00:41,2025-09-02
NIFTY25SEP24000PE,,2025-09-03,NSE,FO,,buy,false,75.000000,88.400000,132796,1400000002799267,2025-09-03T09:18:22,2025-09-30
NIFTY2590924550CE,,2025-09-03,NSE,FO,,buy,false,75.000000,137.000000,242190,1100000006311435,2025-09-03T09:22:12,2025-09-09
BANKNIFTY25OCT55000CE,,2025-09-03,NSE,FO,,buy,false,105.000000,688.000000,96313,1900000017667534,2025-09-03T10:07:51,2025-10-28
BANKNIFTY25OCT54500CE,,2025-09-03,NSE,FO,,sell,false,70.000000,920.500000,113120,1800000018602963,2025-09-03T10:07:57,2025-10-28
BANKNIFTY25SEP54500CE,,2025-09-03,NSE,FO,,buy,false,35.000000,507.050000,117858,1800000019439192,2025-09-03T10:10:23,2025-09-30
BANKNIFTY25SEP54500CE,,2025-09-03,NSE,FO,,buy,false,35.000000,507.050000,117859,1800000019439192,2025-09-03T10:10:23,2025-09-30
BANKNIFTY25SEP54000CE,,2025-09-03,NSE,FO,,sell,false,35.000000,756.100000,160369,1700000021888296,2025-09-03T10:10:29,2025-09-30
BANKNIFTY25SEP54000CE,,2025-09-03,NSE,FO,,sell,false,35.000000,752.300000,164558,1700000022718709,2025-09-03T10:13:16,2025-09-30
