open,high,low,close,volume,trend_code,year,month,day,hour,dayofweek,Actual_Label,Predicted_Label
5422.15,5443.55,5408.8,5414.15,0,1,2010,8,17,0,1,Sideways,Sideways
4806.2,4934.39,4806.05,4919.6,0,2,2011,8,29,0,0,Uptrend,Uptrend
25230.75,25238.35,25101.0,25111.45,0,0,2025,7,17,0,3,Downtrend,Downtrend
1049.5,1050.9,1035.5,1045.3,0,1,2002,5,22,0,2,Sideways,Sideways
11883.9,11883.95,11784.45,11844.1,0,2,2019,10,30,0,2,Uptrend,Uptrend
2489.1,2504.75,2480.85,2500.69,0,2,2005,11,10,0,3,Uptrend,Uptrend
3664.5,3682.2,3618.75,3661.9,0,2,2009,5,5,0,1,Uptrend,Uptrend
1944.15,1953.05,1887.1,1900.65,0,0,2004,1,16,0,4,Downtrend,Downtrend
2032.75,2033.0,2001.85,2008.2,0,0,2005,4,11,0,0,Downtrend,Downtrend
1094.45,1099.84,1087.3,1089.59,0,0,2003,1,3,0,4,Downtrend,Downtrend
2764.6,2764.6,2659.55,2674.6,0,0,2009,3,2,0,0,Downtrend,Downtrend
10531.05,10552.4,10469.25,10490.75,0,0,2017,12,27,0,2,Downtrend,Downtrend
11928.8,11969.25,11923.65,11946.75,0,2,2019,7,4,0,3,Uptrend,Uptrend
5246.8,5269.95,5237.1,5262.8,0,2,2010,3,19,0,4,Uptrend,Uptrend
2006.8,2034.35,2006.8,2028.7,0,2,2004,12,15,0,2,Uptrend,Uptrend
5596.75,5624.4,5583.05,5619.7,0,1,2012,10,31,0,2,Sideways,Sideways
5647.95,5699.35,5630.95,5682.35,0,2,2013,6,27,0,3,Uptrend,Uptrend
17312.84,17379.65,17302.7,17369.25,0,2,2021,9,9,0,3,Uptrend,Uptrend
17519.2,17559.8,17435.2,17464.75,0,2,2022,3,31,0,3,Uptrend,Uptrend
5037.39,5049.05,4921.45,4943.64,0,0,2011,12,8,0,3,Downtrend,Downtrend
11999.8,12039.25,11829.45,11922.8,0,0,2019,5,31,0,4,Downtrend,Downtrend
2070.55,2088.44,2052.25,2059.8,0,0,2004,12,30,0,3,Downtrend,Downtrend
5432.35,5432.35,5303.4,5312.55,0,0,2011,2,8,0,1,Downtrend,Downtrend
11531.6,11582.55,11461.0,11555.9,0,0,2019,7,9,0,1,Downtrend,Downtrend
23296.75,23546.8,23277.4,23508.4,0,2,2025,1,31,0,4,Uptrend,Uptrend
23515.4,23708.75,23433.5,23658.35,0,2,2025,3,24,0,0,Uptrend,Uptrend
